codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,FURNISHED,POOL,ELEVATOR,LAVABO,SAUNA,PORCELAIN,INTERCOM,AIR_CONDITIONING,numberOfSuites,PETS_ALLOWED,BALCONY,BACKYARD,SPORTS_COURT,BARBECUE_GRILL,LAUNDRY,ALARM_SYSTEM,SERVICE_AREA,GARDEN,DEPOSIT,PLAYGROUND,SEA_VIEW,GOURMET_BALCONY,KITCHEN,PARTY_HALL,CABLE_TV,KITCHEN_CABINETS,SAFETY_CIRCUIT,GATED_COMMUNITY,HEATING,CONCIERGE_24H,WATCHMAN,GOURMET_SPACE,GYM,BICYCLES_PLACE,DINNER_ROOM,PAVED_STREET,RECEPTION,CLOSET,CARETAKER,ARMORED_SECURITY_CABIN,RECREATION_AREA,ELECTRONIC_GATE,INTERNET_ACCESS,BLINDEX_BOX,BEDROOM_WARDROBE,BATHROOM_CABINETS,DISABLED_ACCESS,HOME_OFFICE,SPA,TENNIS_COURT,INDOOR_SOCCER,MOUNTAIN_VIEW,CHILDRENS_POOL,DECK,MASSAGE_ROOM,GRASS,CINEMA,SQUASH,COPA,AMERICAN_KITCHEN,ELECTRIC_GENERATOR,TOYS_PLACE,PANTRY,BAR,FIREPLACE,GAMES_ROOM,WALL_BALCONY,PLANNED_FURNITURE,ALUMINUM_WINDOW,NATURAL_VENTILATION,LARGE_WINDOW,EMPLOYEE_DEPENDENCY,ENTRANCE_HALL,SERVICE_BATHROOM,INTEGRATED_ENVIRONMENTS,HIGH_CEILING_HEIGHT,LARGE_ROOM,COLD_FLOOR,WHIRLPOOL,BARBECUE_BALCONY,BUILTIN_WARDROBE,SQUARE,HEATED_POOL,TEEN_SPACE,SERVICE_ROOM,STAIR,FULL_FLOOR,FITNESS_ROOM,LARGE_KITCHEN,PANORAMIC_VIEW,PLATED_GAS,LAMINATED_FLOOR,ADULT_POOL,GREEN_SPACE,PIZZA_OVEN,BEAUTY_CENTER,SECURITY_CAMERA,SECURITY_CABIN,COWORKING,COOKER,SOLARIUM,FOOTBALL_FIELD,GOURMET_KITCHEN,BATHTUB,SANCA,PET_SPACE,SERVICE_ENTRANCE,PRIVATE_POOL,DIGITAL_LOCKER,WOOD_FLOOR,VALET_PARKING,PARKING,MEZZANINE,LUNCH_ROOM,PATROL,GLASS_WALL,SMALL_ROOM,CORNER_PROPERTY,ADMINISTRATION,GAS_SHOWER,MEETING_ROOM,MASSAGE,TREE_CLIMBING,LIBRARY,HIKING_TRAIL,SMART_CONDOMINIUM,POOL_BAR,RESTAURANT,COVENTION_HALL,SOUNDPROOFING,SIDE_ENTRANCE,ZEN_SPACE,REDARIO,HALF_FLOOR,COVERED_POOL,GUEST_PARKING,REVERSIBLE_ROOM,STORES,BEAUTY_ROOM,COVERAGE,ELETRIC_CHARGER,SEMI_OLYMPIC_POOL,ECO_GARBAGE_COLLECTOR,VINYL_FLOOR,SLAB,LAKE_VIEW,FRUIT_TREES,HOT_TUB,THERMAL_INSULATION,DIVIDERS,WALLS_GRIDS,FREEZER
AP04166,2752336494,28/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 1.300.000,R$ 1.300,R$ 370,"Rua Ceará - Pompeia, Santos - SP",130 m²,3 quartos,2 banheiros,2 vagas,3 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,Churrasqueira,Lavanderia,,,,,,,,Cozinha,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19SU7Q6,2710089195,22/04/2024,29/05/2025,Jose Ronaldo Ferreira De Lima,R$ 850.000,isento,isento,"Avenida Marechal Floriano Peixoto, 247 - Gonzaga, Santos - SP",52 m²,1 quarto,1 banheiro,1 vaga,,Mobiliado,Piscina,Elevador,,,,,Ar-condicionado,,,,,,,,,,,,,,,,,,,,,,Portaria 24h,,,Academia,,,,,,,,,Portão eletrônico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30637,2753255290,31/10/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 749.000,R$ 400,R$ 280,"José Menino, Santos - SP",58 m²,1 quarto,2 banheiros,1 vaga,21 andar,Mobiliado,Piscina,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,Sistema de alarme,Área de serviço,,,Playground,Vista para o mar,Varanda gourmet,Cozinha,Salão de festas,TV à cabo,,Circuito de segurança,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP7397,2804012676,07/05/2025,29/05/2025,Chave Santos Imóveis,R$ 700.000,R$ 400,R$ 166,"Rua Nascimento - Embaré, Santos - SP",68 m²,2 quartos,1 banheiro,1 vaga,1 andar,,,Elevador,,,Porcelanato,Interfone,,,,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33586,2799081416,19/04/2025,29/05/2025,Priscila Barroso,R$ 350.000,R$ 750,R$ 97,"Praça Visconde de Ouro Preto, 1 - Estuario, Santos - SP",52 m²,1 quarto,1 banheiro,1 vaga,,,,Elevador,,,,,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,,Salão de festas,,Armário na cozinha,,Condomínio fechado,,Portaria 24h,,,,Bicicletário,,,,,,,,Portão eletrônico,,Box blindex,Armário embutido no quarto,Armário no banheiro,Acesso para deficientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP14323,2757625239,18/11/2024,29/05/2025,R3 Imóveis,R$ 1.490.000,R$ 1.811,R$ 7.709,"Avenida Washington Luís, 489 - Boqueirão, Santos - SP",301 m²,4 quartos,4 banheiros,2 vagas,7 andar,,,Elevador,Lavabo,,,,Ar-condicionado,1 suíte,,Varanda,,,,Lavanderia,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,Escritório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP1446,2753127103,31/10/2024,29/05/2025,Alabi Negócios Imobiliários,R$ 425.000,R$ 840,R$ 96,"Rua Governador Pedro de Toledo, 78 - Boqueirão, Santos - SP",62 m²,1 quarto,1 banheiro,1 vaga,9 andar,,,Elevador,,,,Interfone,,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9660,2772601523,20/01/2025,29/05/2025,Familia Imoveis Consultoria,R$ 580.000,R$ 740,R$ 222,"Avenida Doutor Moura Ribeiro - Marapé, Santos - SP",64 m²,2 quartos,2 banheiros,1 vaga,7 andar,Mobiliado,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,Varanda,,,,,,,Jardim,,Playground,,,,Salão de festas,,,,Condomínio fechado,,,Vigia,Espaço gourmet,,,,,,,,,,,,,,,,,Spa,Quadra de tênis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8730,2795706347,09/04/2025,29/05/2025,Imob Santos Imóveis,R$ 750.000,R$ 700,R$ 300,"Rua São José - Embaré, Santos - SP",100 m²,2 quartos,1 banheiro,1 vaga,4 andar,,,Elevador,,,,,,,,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03789,2747124189,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 929.000,R$ 502,R$ 325,"Rua Carlos Gomes - Marapé, Santos - SP",85 m²,2 quartos,2 banheiros,1 vaga,,,Piscina,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,Churrasqueira,,,,,,,,Varanda gourmet,Cozinha,Salão de festas,TV à cabo,Armário na cozinha,Circuito de segurança,,,Portaria 24h,,,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
