codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,FURNISHED,POOL,ELEVATOR,LAVABO,SAUNA,PORCELAIN,INTERCOM,AIR_CONDITIONING,numberOfSuites,PETS_ALLOWED,BALCONY,BACKYARD,SPORTS_COURT,BARBECUE_GRILL,LAUNDRY,ALARM_SYSTEM,SERVICE_AREA,GARDEN,DEPOSIT,PLAYGROUND,SEA_VIEW,GOURMET_BALCONY,KITCHEN,PARTY_HALL,CABLE_TV,KITCHEN_CABINETS,SAFETY_CIRCUIT,GATED_COMMUNITY,HEATING,CONCIERGE_24H,WATCHMAN,GOURMET_SPACE,GYM,BICYCLES_PLACE,DINNER_ROOM,PAVED_STREET,RECEPTION,CLOSET,CARETAKER,ARMORED_SECURITY_CABIN,RECREATION_AREA,ELECTRONIC_GATE,INTERNET_ACCESS,BLINDEX_BOX,BEDROOM_WARDROBE,BATHROOM_CABINETS,DISABLED_ACCESS,HOME_OFFICE,SPA,TENNIS_COURT,INDOOR_SOCCER,MOUNTAIN_VIEW,CHILDRENS_POOL,DECK,MASSAGE_ROOM,GRASS,CINEMA,SQUASH,COPA,AMERICAN_KITCHEN,ELECTRIC_GENERATOR,TOYS_PLACE,PANTRY,BAR,FIREPLACE,GAMES_ROOM,WALL_BALCONY,PLANNED_FURNITURE,ALUMINUM_WINDOW,NATURAL_VENTILATION,LARGE_WINDOW,EMPLOYEE_DEPENDENCY,ENTRANCE_HALL,SERVICE_BATHROOM,INTEGRATED_ENVIRONMENTS,HIGH_CEILING_HEIGHT,LARGE_ROOM,COLD_FLOOR,WHIRLPOOL,BARBECUE_BALCONY,BUILTIN_WARDROBE,SQUARE,HEATED_POOL,TEEN_SPACE,SERVICE_ROOM,STAIR,FULL_FLOOR,FITNESS_ROOM,LARGE_KITCHEN,PANORAMIC_VIEW,PLATED_GAS,LAMINATED_FLOOR,ADULT_POOL,GREEN_SPACE,PIZZA_OVEN,BEAUTY_CENTER,SECURITY_CAMERA,SECURITY_CABIN,COWORKING,COOKER,SOLARIUM,FOOTBALL_FIELD,GOURMET_KITCHEN,BATHTUB,SANCA,PET_SPACE,SERVICE_ENTRANCE,PRIVATE_POOL,DIGITAL_LOCKER,WOOD_FLOOR,VALET_PARKING,PARKING,MEZZANINE,LUNCH_ROOM,PATROL,GLASS_WALL,SMALL_ROOM,CORNER_PROPERTY,ADMINISTRATION,GAS_SHOWER,MEETING_ROOM,MASSAGE,TREE_CLIMBING,LIBRARY,HIKING_TRAIL,SMART_CONDOMINIUM,POOL_BAR,RESTAURANT,COVENTION_HALL,SOUNDPROOFING,SIDE_ENTRANCE,ZEN_SPACE,REDARIO,HALF_FLOOR,COVERED_POOL,GUEST_PARKING,REVERSIBLE_ROOM,STORES,BEAUTY_ROOM,COVERAGE,ELETRIC_CHARGER,SEMI_OLYMPIC_POOL,ECO_GARBAGE_COLLECTOR,VINYL_FLOOR,SLAB,LAKE_VIEW,FRUIT_TREES,HOT_TUB,THERMAL_INSULATION,DIVIDERS,WALLS_GRIDS,FREEZER
2994,2803599184,06/05/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 550.000,R$ 640,R$ 159,"Ponta da Praia, Santos - SP",75 m²,3 quartos,3 banheiros,1 vaga,1 andar,,,,,,,Interfone,,2 suítes,,Varanda,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22377,2675320621,11/12/2023,29/05/2025,Invista Inteligência Imobiliária,R$ 485.480,R$ 452,R$ 180,"Estuario, Santos - SP",42 m²,1 quarto,1 banheiro,1 vaga,1 andar,,Piscina,Elevador,,,,Interfone,,,Aceita animais,Varanda,,,Churrasqueira,,,,,,,,,Cozinha,Salão de festas,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,2749036299,13/10/2024,29/05/2025,Conceito 013 Imóveis,R$ 1.300.000,R$ 1.700,R$ 500,"Rua Doutor Samuel Baccarat, 69 - Boqueirão, Santos - SP",85 m²,2 quartos,2 banheiros,1 vaga,17 andar,,Piscina,Elevador,,Sauna,,Interfone,,2 suítes,,,,,Churrasqueira,,,,,,,,,,Salão de festas,,,,,,,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP0047,2802126421,30/04/2025,29/05/2025,Cintia Mazagao Garcia,R$ 860.000,R$ 2.200,R$ 290,"Rua Mário Carpenter, 1 - Gonzaga, Santos - SP",166 m²,3 quartos,2 banheiros,1 vaga,8 andar,,,Elevador,,,,,Ar-condicionado,1 suíte,Aceita animais,,,,,,,,,,,,,,,,,,,,Portaria 24h,,,,Bicicletário,,,,,,,,Portão eletrônico,,,,,Acesso para deficientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP0046,2801534913,28/04/2025,29/05/2025,Cintia Mazagao Garcia,R$ 1.000.000,R$ 2.200,R$ 290,"Rua Mário Carpenter, 1 - Gonzaga, Santos - SP",166 m²,3 quartos,3 banheiros,1 vaga,10 andar,,,Elevador,,,,,Ar-condicionado,2 suítes,Aceita animais,,,,,,,,,,,,,,,,,,,,Portaria 24h,,,,Bicicletário,,,,,,,,Portão eletrônico,,,,,Acesso para deficientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP09508,2758950117,24/11/2024,29/05/2025,Duarte Prime Brokers,R$ 549.000,R$ 650,R$ 205,"Rua Benjamin Constant - Embaré, Santos - SP",128 m²,3 quartos,3 banheiros,2 vagas,3 andar,,,,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,,,,,,,,,,Cozinha,,TV à cabo,Armário na cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP6496,2751950837,25/10/2024,29/05/2025,Chave Santos Imóveis,R$ 885.000,isento,não informado,"Rua Nascimento - Embaré, Santos - SP",63 m²,2 quartos,2 banheiros,1 vaga,10 andar,,Piscina,Elevador,Lavabo,,,Interfone,,2 suítes,Aceita animais,Varanda,,,Churrasqueira,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4909,2773169954,22/01/2025,29/05/2025,Elton Ayres Imóveis,R$ 3.000.000,R$ 4.500,R$ 1.440,"Praça Rotary, 42 - Gonzaga, Santos - SP",524 m²,5 quartos,5 banheiros,3 vagas,4 andar,,,Elevador,,,,Interfone,,3 suítes,,,,,,,,,,,,,,,,,,,,,Portaria 24h,Vigia,,,,,,Recepção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14897,2790551429,25/03/2025,29/05/2025,Imob Santos Imóveis,R$ 1.200.000,R$ 1.000,R$ 312,"Rua Bahia - Gonzaga, Santos - SP",74 m²,2 quartos,3 banheiros,1 vaga,14 andar,,Piscina,Elevador,,,,Interfone,Ar-condicionado,2 suítes,Aceita animais,Varanda,,,,Lavanderia,Sistema de alarme,Área de serviço,,,Playground,,,Cozinha,Salão de festas,,,,Condomínio fechado,,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24015,2664881195,26/10/2023,29/05/2025,Invista Inteligência Imobiliária,R$ 930.000,R$ 1.200,R$ 25,"Encruzilhada, Santos - SP",98 m²,3 quartos,3 banheiros,2 vagas,15 andar,,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,Quadra poliesportiva,Churrasqueira,,Sistema de alarme,Área de serviço,Jardim,,Playground,,,Cozinha,Salão de festas,,,Circuito de segurança,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,,Spa,,,,,,Sala de massagem,Gramado,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28087,2753708739,02/11/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 450.000,R$ 475,R$ 216,"Vila Matias, Santos - SP",49 m²,1 quarto,1 banheiro,1 vaga,17 andar,,Piscina,Elevador,,,,Interfone,Ar-condicionado,,,Varanda,,,Churrasqueira,,,,,,Playground,,,Cozinha,Salão de festas,,,Circuito de segurança,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596,2759070338,25/11/2024,29/05/2025,Elton Ayres Imóveis,R$ 2.800.000,R$ 3.500,R$ 400,"Rua Mário Carpenter, 16 - Gonzaga, Santos - SP",257 m²,3 quartos,5 banheiros,2 vagas,,Mobiliado,,Elevador,,,,Interfone,,3 suítes,,Varanda,,,,,,,,,,,,,Salão de festas,,,,,,,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5174,2782226771,26/02/2025,29/05/2025,Elton Ayres Imóveis,R$ 800.000,R$ 1.500,R$ 432,"Rua Azevedo Sodré, 122 - Gonzaga, Santos - SP",133 m²,3 quartos,3 banheiros,2 vagas,,,,,,,,,,1 suíte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP10211,2769648355,08/01/2025,29/05/2025,Kasa Imoveis,R$ 689.000,R$ 750,R$ 150,"Avenida Senador Feijó - Encruzilhada, Santos - SP",68 m²,2 quartos,2 banheiros,1 vaga,14 andar,,Piscina,Elevador,,,Porcelanato,,Ar-condicionado,1 suíte,Aceita animais,Varanda,,Quadra poliesportiva,Churrasqueira,,,Área de serviço,,,,,,,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2-3265495,2749371685,14/10/2024,29/05/2025,Silene - Corretora De Imóveis,R$ 930.000,R$ 1.700,R$ 285,"Avenida Doutor Bernardino de Campos, 671 - Gonzaga, Santos - SP",177 m²,3 quartos,4 banheiros,1 vaga,2 andar,,,Elevador,Lavabo,,,Interfone,,1 suíte,,,,,,,,Área de serviço,,,Playground,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,,Portaria 24h,,,,,,,,,,Guarita blindada,,Portão eletrônico,,,,Armário no banheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banheiro de serviço,,,,,,,,,,,,,,,,,,,,Espaço verde / Parque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8387,2790559533,25/03/2025,29/05/2025,Multiverso Imob,R$ 900.000,R$ 2.066,R$ 385,"Boqueirão, Santos - SP",158 m²,3 quartos,3 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,Varanda,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26403,2702054276,28/03/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 480.000,R$ 450,R$ 170,"Aparecida, Santos - SP",75 m²,2 quartos,1 banheiro,1 vaga,1 andar,,,Elevador,,,,Interfone,,,,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP0039,2792887735,31/03/2025,29/05/2025,Cintia Mazagao Garcia,R$ 2.500.000,R$ 3.775,R$ 905,"Rua Tolentino Filgueiras, 60 - Gonzaga, Santos - SP",319 m²,4 quartos,5 banheiros,4 vagas,6 andar,,,Elevador,,,,,Ar-condicionado,3 suítes,Aceita animais,,,,,,,,,,,,,,,,,,,,Portaria 24h,,,,Bicicletário,,,,Closet,,,,Portão eletrônico,,,,,Acesso para deficientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP5253,2751949262,25/10/2024,29/05/2025,Chave Santos Imóveis,R$ 699.000,R$ 1.500,R$ 293,"Rua Alexandre Herculano - Gonzaga, Santos - SP",152 m²,3 quartos,3 banheiros,2 vagas,6 andar,,,Elevador,,,,Interfone,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31913,2774609862,28/01/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 850.000,R$ 2.200,R$ 358,"Boqueirão, Santos - SP",128 m²,3 quartos,3 banheiros,2 vagas,4 andar,,,Elevador,,,,Interfone,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4512,2794747716,06/04/2025,29/05/2025,Viver Em Santos Imoveis Ltda,R$ 850.000,R$ 1.000,R$ 212,"José Menino, Santos - SP",102 m²,2 quartos,2 banheiros,1 vaga,9 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,Vista para o mar,,Cozinha,Salão de festas,,,,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2666,2709167616,19/04/2024,29/05/2025,Contemplare Imóveis,R$ 610.000,R$ 801,R$ 260,"Rua Marquês de São Vicente - Campo Grande, Santos - SP",88 m²,2 quartos,2 banheiros,1 vaga,6 andar,,,Elevador,,,,Interfone,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064,2779000462,13/02/2025,29/05/2025,Familia Imoveis Consultoria,R$ 640.000,R$ 1.365,R$ 294,"Rua Vahia de Abreu - Boqueirão, Santos - SP",111 m²,3 quartos,2 banheiros,1 vaga,1 andar,,,Elevador,,,,Interfone,Ar-condicionado,,,,,,,,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02822,2795692249,09/04/2025,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,R$ 960.000,R$ 1.483,R$ 498,"Embaré, Santos - SP",208 m²,5 quartos,5 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,,2 suítes,Aceita animais,,,,,Lavanderia,,,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP8427,2720338562,07/06/2024,29/05/2025,R3 Imóveis,R$ 3.000.000,R$ 3.000,R$ 742,"Avenida Washington Luís, 541 - Boqueirão, Santos - SP",303 m²,4 quartos,5 banheiros,2 vagas,12 andar,,,,,,,,,2 suítes,Aceita animais,,,,,,,Área de serviço,,,,Vista para o mar,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03679,2747126109,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 1.060.000,R$ 1.400,R$ 390,"Avenida Almirante Cochrane - Aparecida, Santos - SP",120 m²,3 quartos,1 banheiro,1 vaga,2 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,,,,,,,Cozinha,,,Armário na cozinha,,,,Portaria 24h,,,,,,,,,,Guarita blindada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2807468674,19/05/2025,29/05/2025,I.A De Lima Corretor De Imóveis,R$ 380.000,R$ 446,R$ 116,"Campo Grande, Santos - SP",67 m²,3 quartos,2 banheiros,1 vaga,,,,,,,,,,,,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187-4,2777174669,06/02/2025,29/05/2025,Avanti Imóveis,R$ 1.350.000,R$ 1.200,R$ 450,"Avenida Almirante Cochrane - Embaré, Santos - SP",120 m²,2 quartos,1 banheiro,1 vaga,,,,,,,Porcelanato,Interfone,,1 suíte,,Varanda,,,,,,Área de serviço,,,,,,Cozinha,Salão de festas,,Armário na cozinha,,,,,,,,Bicicletário,Sala de jantar,Rua asfaltada,Recepção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronda/Vigilância,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP11582,2674033714,05/12/2023,29/05/2025,R3 Imóveis,R$ 1.850.000,R$ 2.500,R$ 639,"Rua República Argentina, 4 - Gonzaga, Santos - SP",185 m²,3 quartos,5 banheiros,2 vagas,4 andar,,,Elevador,Lavabo,,,Interfone,Ar-condicionado,3 suítes,Aceita animais,,,,,Lavanderia,Sistema de alarme,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apsb0002,2804223631,08/05/2025,29/05/2025,Corretor Yannis,R$ 1.700.000,R$ 1.100,R$ 380,"Rua Bolivar, 74 - Boqueirão, Santos - SP",124 m²,3 quartos,5 banheiros,2 vagas,,,Piscina,Elevador,,Sauna,,,Ar-condicionado,3 suítes,Aceita animais,,,,Churrasqueira,,,,,,Playground,,Varanda gourmet,,Salão de festas,,,,Condomínio fechado,,Portaria 24h,,Espaço gourmet,Academia,Bicicletário,,,,,,,,Portão eletrônico,,,,,Acesso para deficientes,,,,,,,,,,,,,,,,,,,Salão de jogos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33503,2798064318,16/04/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 1.500.000,R$ 837,R$ 368,"Pompeia, Santos - SP",63 m²,2 quartos,2 banheiros,1 vaga,35 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,Lavanderia,,,Jardim,,Playground,Vista para o mar,,Cozinha,Salão de festas,,,,Condomínio fechado,,Portaria 24h,Vigia,,Academia,,,,,,,,,,,,,,,,Spa,,,,,,Sala de massagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767,2754985999,07/11/2024,29/05/2025,Apollo-On,R$ 320.000,R$ 667,R$ 906,"Avenida Doutor Pedro Lessa, 265 - Aparecida, Santos - SP",91 m²,2 quartos,1 banheiro,1 vaga,2 andar,,,,,,,,,,Aceita animais,,,,,Lavanderia,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4573,2800989314,26/04/2025,29/05/2025,Apollo-On,R$ 370.000,R$ 450,R$ 139,"Rua São José, 55 - Embaré, Santos - SP",62 m²,2 quartos,1 banheiro,1 vaga,3 andar,,,,,,,,,,,,,,,Lavanderia,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14642,2805252234,13/05/2025,29/05/2025,Familia Imoveis Consultoria,R$ 435.000,R$ 300,R$ 130,"Rua Joana Monte Bastos - Boqueirão, Santos - SP",59 m²,2 quartos,2 banheiros,,,,,,,,,Interfone,,1 suíte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5560,2796308629,11/04/2025,29/05/2025,Elton Ayres Imóveis,R$ 880.000,R$ 700,R$ 534,"Rua Godofredo Fraga, 000 - Marapé, Santos - SP",84 m²,3 quartos,2 banheiros,2 vagas,6 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,,1 suíte,,Varanda,,,Churrasqueira,,,,,,Playground,,Varanda gourmet,,Salão de festas,,,,,,,Vigia,,Academia,,,,Recepção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33178,2792591125,30/03/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 415.000,R$ 360,R$ 250,"Gonzaga, Santos - SP",68 m²,2 quartos,2 banheiros,1 vaga,,,,,,,,Interfone,,,Aceita animais,,Quintal,,,,,Área de serviço,Jardim,,,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP04860,2798034218,16/04/2025,29/05/2025,Ricci Consultoria Imobiliaria,R$ 790.000,R$ 1.160,R$ 270,"Avenida Bartholomeu de Gusmão - Boqueirão, Santos - SP",106 m²,3 quartos,3 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,,,Aceita animais,,,,,,,,,,,Vista para o mar,,,Salão de festas,,,,,,Portaria 24h,,,,,,,,,,,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,2771823483,17/01/2025,29/05/2025,Apollo-On,R$ 425.000,R$ 300,R$ 115,"Rua Capitão Alberto Mendes Júnior, 40 - Macuco, Santos - SP",63 m²,2 quartos,1 banheiro,1 vaga,2 andar,,,,,,,,,1 suíte,,,,,,,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02594,2756792214,14/11/2024,29/05/2025,Globalize Imóveis,R$ 695.000,R$ 2.000,R$ 320,"Rua Frederico Ozanam - José Menino, Santos - SP",146 m²,3 quartos,4 banheiros,1 vaga,,,,Elevador,,,,,,1 suíte,,,,,,,,,,,,,,Cozinha,,,,,,,Portaria 24h,,,,Bicicletário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
